continent,country,population
Asia,Afghanistan,27145
Europe,Albania,3190
Africa,Algeria,33858
Europe,Andorra,75
Africa,Angola,17024
North America,Antigua and Barbuda,85
South America,Argentina,39531
Asia,Armenia,3002
Oceania,Australia,20743
Europe,Austria,8361
Asia,Azerbaijan,8467
North America,Bahamas,331
Asia,Bahrain,753
Asia,Bangladesh,158665
North America,Barbados,294
Europe,Belarus,9689
Europe,Belgium,10457
North America,Belize,288
Africa,Benin,9033
Asia,Bhutan,658
South America,Bolivia (Plurinational State of),9525
Europe,Bosnia and Herzegovina,3935
Africa,Botswana,1882
South America,Brazil,191791
Asia,Brunei Darussalam,390
Europe,Bulgaria,7639
Africa,Burkina Faso,14784
Africa,Burundi,8508
Asia,Cambodia,14444
Africa,Cameroon,18549
North America,Canada,32876
Africa,Cape Verde,530
Africa,Central African Republic,4343
Africa,Chad,10781
South America,Chile,16635
Asia,China,1336317
South America,Colombia,46156
Africa,Comoros,839
Africa,Congo,3768
Oceania,Cook Islands,13
North America,Costa Rica,4468
Africa,C̫te d'Ivoire,19262
Europe,Croatia,4555
North America,Cuba,11268
Asia,Cyprus,855
Europe,Czech Republic,10186
Asia,Democratic People's Republic of Korea,23790
Africa,Democratic Republic of the Congo,62636
Europe,Denmark,5442
Africa,Djibouti,833
North America,Dominica,67
North America,Dominican Republic,9760
South America,Ecuador,13341
Africa,Egypt,75498
North America,El Salvador,6857
Africa,Equatorial Guinea,507
Africa,Eritrea,4851
Europe,Estonia,1335
Africa,Ethiopia,83099
Oceania,Fiji,839
Europe,Finland,5277
Europe,France,61647
Africa,Gabon,1331
Africa,Gambia,1709
Asia,Georgia,4395
Europe,Germany,82599
Africa,Ghana,23478
Europe,Greece,11147
North America,Grenada,106
North America,Guatemala,13354
Africa,Guinea,9370
Africa,Guinea-Bissau,1695
South America,Guyana,738
North America,Haiti,9598
North America,Honduras,7106
Europe,Hungary,10030
Europe,Iceland,301
Asia,India,1169016
Asia,Indonesia,231627
Asia,Iran (Islamic Republic of),71208
Asia,Iraq,28993
Europe,Ireland,4301
Asia,Israel,6928
Europe,Italy,58877
North America,Jamaica,2714
Asia,Japan,127967
Asia,Jordan,5924
Asia,Kazakhstan,15422
Africa,Kenya,37538
Oceania,Kiribati,95
Asia,Kuwait,2851
Asia,Kyrgyzstan,5317
Asia,Lao People's Democratic Republic,5859
Europe,Latvia,2277
Asia,Lebanon,4099
Africa,Lesotho,2008
Africa,Liberia,3750
Africa,Libyan Arab Jamahiriya,6160
Europe,Lithuania,3390
Europe,Luxembourg,467
Africa,Madagascar,19683
Africa,Malawi,13925
Asia,Malaysia,26572
Asia,Maldives,306
Africa,Mali,12337
Europe,Malta,407
Oceania,Marshall Islands,59
Africa,Mauritania,3124
Africa,Mauritius,1262
North America,Mexico,106535
Oceania,Micronesia (Federated States of),111
Europe,Monaco,33
Asia,Mongolia,2629
Europe,Montenegro,598
Africa,Morocco,31224
Africa,Mozambique,21397
Asia,Myanmar,48798
Africa,Namibia,2074
Oceania,Nauru,10
Asia,Nepal,28196
Europe,Netherlands,16419
Oceania,New Zealand,4179
North America,Nicaragua,5603
Africa,Niger,14226
Africa,Nigeria,148093
Oceania,Niue,2
Europe,Norway,4698
Asia,Oman,2595
Asia,Pakistan,163902
Oceania,Palau,20
North America,Panama,3343
Oceania,Papua New Guinea,6331
South America,Paraguay,6127
South America,Peru,27903
Asia,Philippines,87960
Europe,Poland,38082
Europe,Portugal,10623
Asia,Qatar,841
Asia,Republic of Korea,48224
Europe,Republic of Moldova,3794
Europe,Romania,21438
Europe,Russian Federation,142499
Africa,Rwanda,9725
North America,Saint Kitts and Nevis,50
North America,Saint Lucia,165
North America,Saint Vincent and the Grenadines,120
Oceania,Samoa,187
Europe,San Marino,31
Africa,Sao Tome and Principe,158
Asia,Saudi Arabia,24735
Africa,Senegal,12379
Europe,Serbia,9858
Africa,Seychelles,87
Africa,Sierra Leone,5866
Asia,Singapore,4436
Europe,Slovakia,5390
Europe,Slovenia,2002
Oceania,Solomon Islands,496
Africa,Somalia,8699
Africa,South Africa,48577
Europe,Spain,44279
Asia,Sri Lanka,19299
Africa,Sudan,38560
South America,Suriname,458
Africa,Swaziland,1141
Europe,Sweden,9119
Europe,Switzerland,7484
Asia,Syrian Arab Republic,19929
Asia,Tajikistan,6736
Asia,Thailand,63884
Europe,The former Yugoslav Republic of Macedonia,2038
Asia,Timor-Leste,1155
Africa,Togo,6585
Oceania,Tonga,100
North America,Trinidad and Tobago,1333
Africa,Tunisia,10327
Asia,Turkey,74877
Asia,Turkmenistan,4965
Oceania,Tuvalu,11
Africa,Uganda,30884
Europe,Ukraine,46205
Asia,United Arab Emirates,4380
Europe,United Kingdom,60769
Africa,United Republic of Tanzania,40454
North America,United States of America,305826
South America,Uruguay,3340
Asia,Uzbekistan,27372
Oceania,Vanuatu,226
South America,Venezuela (Bolivarian Republic of),27657
Asia,Viet Nam,87375
Asia,Yemen,22389
Africa,Zambia,11922
Africa,Zimbabwe,13349
